nameTeam,slugTeam,color1,color2,logo
Washington Wizards,WAS,#002b5c,#e31837,https://a.espncdn.com/i/teamlogos/nba/500/wsh.png
Utah Jazz,UTA,#002b5c,#f9a01b,https://a.espncdn.com/i/teamlogos/nba/500/utah.png
Toronto Raptors,TOR,#ce1141,#061922,https://a.espncdn.com/i/teamlogos/nba/500/tor.png
San Antonio Spurs,SAS,#061922,#bac3c9,https://a.espncdn.com/i/teamlogos/nba/500/sa.png
Sacramento Kings,SAC,#724c9f,#8e9090,https://a.espncdn.com/i/teamlogos/nba/500/sac.png
Portland Trail Blazers,POR,#061922,#e03a3e,https://a.espncdn.com/i/teamlogos/nba/500/por.png
Phoenix Suns,PHX,#e56020,#1d1160,https://a.espncdn.com/i/teamlogos/nba/500/phx.png
Philadelphia 76ers,PHI,#ed174c,#006bb6,https://a.espncdn.com/i/teamlogos/nba/500/phi.png
Orlando Magic,ORL,#007dc5,#c4ced3,https://a.espncdn.com/i/teamlogos/nba/500/orl.png
Oklahoma City Thunder,OKC,#007dc3,#F05133,https://a.espncdn.com/i/teamlogos/nba/500/okc.png
New York Knicks,NYK,#006bb6,#f58426,https://a.espncdn.com/i/teamlogos/nba/500/ny.png
New Orleans Pelicans,NOP,#002b5c,#e31837,https://a.espncdn.com/i/teamlogos/nba/500/no.png
Minnesota Timberwolves,MIN,#005083,#00a94f,https://a.espncdn.com/i/teamlogos/nba/500/min.png
Milwaukee Bucks,MIL,#00471b,#f0ebd2,https://a.espncdn.com/i/teamlogos/nba/500/mil.png
Miami Heat,MIA,#98002e,#f9a01b,https://a.espncdn.com/i/teamlogos/nba/500/mia.png
Memphis Grizzlies,MEM,#7399c6,#bed4e9,https://a.espncdn.com/i/teamlogos/nba/500/mem.png
Los Angeles Lakers,LAL,#fdb927,#552582,https://a.espncdn.com/i/teamlogos/nba/500/lal.png
Los Angeles Clippers,LAC,#ed174c,#006bb6,https://a.espncdn.com/i/teamlogos/nba/500/lac.png
Indiana Pacers,IND,#ffc633,#00275d,https://a.espncdn.com/i/teamlogos/nba/500/ind.png
Houston Rockets,HOU,#ce1141,#c4ced3,https://a.espncdn.com/i/teamlogos/nba/500/hou.png
Golden State Warriors,GSW,#fdb927,#006bb6,https://a.espncdn.com/i/teamlogos/nba/500/gs.png
Detroit Pistons,DET,#006bb6,#ed174c,https://a.espncdn.com/i/teamlogos/nba/500/det.png
Denver Nuggets,DEN,#4d90cd,#fdb927,https://a.espncdn.com/i/teamlogos/nba/500/den.png
Dallas Mavericks,DAL,#0064b1,#c4ced3,https://a.espncdn.com/i/teamlogos/nba/500/dal.png
Cleveland Cavaliers,CLE,#860038,#fdbb30,https://a.espncdn.com/i/teamlogos/nba/500/cle.png
Chicago Bulls,CHI,#ce1141,#061922,https://a.espncdn.com/i/teamlogos/nba/500/chi.png
Charlotte Hornets,CHA,#1d1160,#008ca8,https://a.espncdn.com/i/teamlogos/nba/500/cha.png
Brooklyn Nets,BKN,#061922,#061922,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png
Boston Celtics,BOS,#008348,#061922,https://a.espncdn.com/i/teamlogos/nba/500/bos.png
Atlanta Hawks,ATL,#e13a3e,#c4d600,https://a.espncdn.com/i/teamlogos/nba/500/atl.png
